Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active
Georgia,US,2020-05-12 3:32,34.13794553,-83.56814788,124,3,0,121
Alabama,US,2020-05-12 3:32,34.15030532,-87.37325922,23,0,0,23
South Carolina,US,2020-05-12 3:32,34.15272415,-82.12715789,63,0,0,63
Arkansas,US,2020-05-12 3:32,34.16250414,-93.65789349,3,0,0,3
South Carolina,US,2020-05-12 3:32,34.16393091,-80.25690731,115,8,0,107
Alabama,US,2020-05-12 3:32,34.17805983,-85.60638968,24,0,0,24
South Carolina,US,2020-05-12 3:32,34.22333378,-82.46170658,34,0,0,34
Georgia,US,2020-05-12 3:32,34.22604035,-84.1231513,391,10,0,381
Mississippi,US,2020-05-12 3:32,34.226046,-89.03636807,23,2,0,21
Mississippi,US,2020-05-12 3:32,34.22772299,-90.60415045,71,3,0,68
Georgia,US,2020-05-12 3:32,34.23732119,-84.83887523,364,33,0,331
Georgia,US,2020-05-12 3:32,34.24393976,-84.47431861,621,18,0,603
Oklahoma,US,2020-05-12 3:32,34.25103751,-97.28552485,6,1,0,5
Mississippi,US,2020-05-12 3:32,34.25157572,-90.28908,17,0,0,17
North Carolina,US,2020-05-12 3:32,34.25758282,-77.87075626,117,3,0,114
Georgia,US,2020-05-12 3:32,34.26268279,-85.21577392,158,12,0,146
North Carolina,US,2020-05-12 3:32,34.26744084,-78.65801424,213,16,0,197
Arkansas,US,2020-05-12 3:32,34.26767081,-91.92619839,238,19,0,219
Mississippi,US,2020-05-12 3:32,34.27993475,-88.3606733,69,7,0,62
South Carolina,US,2020-05-12 3:32,34.28629098,-81.59935761,31,1,0,30
Oklahoma,US,2020-05-12 3:32,34.28845626,-98.37053567,5,2,0,3
Arkansas,US,2020-05-12 3:32,34.29017991,-92.42320562,15,0,0,15
Arkansas,US,2020-05-12 3:32,34.29145151,-91.37277296,2,0,0,2
Mississippi,US,2020-05-12 3:32,34.2918775,-88.68149954,80,4,0,76
California,US,2020-05-12 3:32,34.30828379,-118.2282411,32263,1570,0,30693
Oklahoma,US,2020-05-12 3:32,34.31440473,-96.66011537,3,0,0,3
Arkansas,US,2020-05-12 3:32,34.31709259,-92.95396325,26,0,0,26
Georgia,US,2020-05-12 3:32,34.32207823,-83.81896936,2039,29,0,2010
South Carolina,US,2020-05-12 3:32,34.33358335,-79.96027485,179,3,0,176
South Carolina,US,2020-05-12 3:32,34.33988254,-80.58763164,257,12,0,245
New Mexico,US,2020-05-12 3:32,34.34274529,-104.4117842,0,0,0,0
Georgia,US,2020-05-12 3:32,34.34626973,-82.96567682,18,0,0,18
Georgia,US,2020-05-12 3:32,34.35607081,-83.49644388,36,0,0,36
Mississippi,US,2020-05-12 3:32,34.35687874,-89.48490961,101,3,0,98
Mississippi,US,2020-05-12 3:32,34.36398677,-89.95064249,43,2,0,41
Alabama,US,2020-05-12 3:32,34.36975964,-86.30486727,576,8,0,568
Oklahoma,US,2020-05-12 3:32,34.37288446,-98.92426619,19,0,0,19
Oklahoma,US,2020-05-12 3:32,34.37366573,-96.03802487,1,0,0,1
Georgia,US,2020-05-12 3:32,34.37525597,-83.23159927,26,1,0,25
South Carolina,US,2020-05-12 3:32,34.39007791,-79.37741872,102,0,0,102
South Carolina,US,2020-05-12 3:32,34.39287073,-81.1195624,81,5,0,76
Oklahoma,US,2020-05-12 3:32,34.41635232,-95.37603505,1,0,0,1
Arkansas,US,2020-05-12 3:32,34.43268455,-90.84800154,4,1,0,3
Alabama,US,2020-05-12 3:32,34.44235334,-87.84289505,247,2,0,245
Georgia,US,2020-05-12 3:32,34.44244079,-84.16964071,81,1,0,80
California,US,2020-05-12 3:32,34.44465746,-119.0910613,678,19,0,659
Alabama,US,2020-05-12 3:32,34.45500589,-86.85475946,95,0,0,95
Alabama,US,2020-05-12 3:32,34.45946862,-85.80782906,158,2,0,156
Georgia,US,2020-05-12 3:32,34.46589159,-84.46406611,33,2,0,31
Georgia,US,2020-05-12 3:32,34.47197698,-85.34535662,16,2,0,14
Oklahoma,US,2020-05-12 3:32,34.48116015,-97.06826283,2,0,0,2
South Carolina,US,2020-05-12 3:32,34.48244419,-82.00490796,48,2,0,46
Arkansas,US,2020-05-12 3:32,34.48254879,-94.22728802,7,0,0,7
Oklahoma,US,2020-05-12 3:32,34.48556989,-97.85141892,22,1,0,21
Mississippi,US,2020-05-12 3:32,34.49162015,-89.00776006,50,3,0,47
Georgia,US,2020-05-12 3:32,34.50487351,-84.87296253,124,16,0,108
South Carolina,US,2020-05-12 3:32,34.51828081,-82.63959517,186,8,0,178
Alabama,US,2020-05-12 3:32,34.52041498,-87.31069453,26,0,0,26
North Carolina,US,2020-05-12 3:32,34.52265624,-77.90352133,39,1,0,38
Texas,US,2020-05-12 3:32,34.5293041,-100.2077916,2,0,0,2
Texas,US,2020-05-12 3:32,34.52993409,-102.7844668,19,0,0,19
Texas,US,2020-05-12 3:32,34.53016752,-102.2617243,23,1,0,22
Texas,US,2020-05-12 3:32,34.53026962,-101.2084947,1,0,0,1
Texas,US,2020-05-12 3:32,34.53028891,-101.7349174,12,0,0,12
Arkansas,US,2020-05-12 3:32,34.53704874,-93.65824478,1,0,0,1
Georgia,US,2020-05-12 3:32,34.55151201,-83.29405315,92,1,0,91
Georgia,US,2020-05-12 3:32,34.57286511,-84.00425681,76,1,0,75
New Mexico,US,2020-05-12 3:32,34.57421077,-103.3468876,31,0,0,31
Arkansas,US,2020-05-12 3:32,34.57692074,-93.14921604,119,1,0,118
Oklahoma,US,2020-05-12 3:32,34.58781741,-99.41138784,19,1,0,18
South Carolina,US,2020-05-12 3:32,34.59905577,-79.67561152,59,1,0,58
Arizona,US,2020-05-12 3:32,34.59933926,-112.5538588,180,4,0,176
North Carolina,US,2020-05-12 3:32,34.61296243,-78.56180059,54,1,0,53
Mississippi,US,2020-05-12 3:32,34.61810501,-88.51986294,36,2,0,34
Georgia,US,2020-05-12 3:32,34.63331566,-83.53094677,386,16,0,370
New Mexico,US,2020-05-12 3:32,34.64048375,-105.8508949,18,1,0,17
South Carolina,US,2020-05-12 3:32,34.64137396,-80.1564014,80,1,0,79
North Carolina,US,2020-05-12 3:32,34.64244496,-79.1025053,391,6,0,385
Georgia,US,2020-05-12 3:32,34.64624278,-83.74905525,88,1,0,87
Arkansas,US,2020-05-12 3:32,34.64916145,-92.67583224,73,1,0,72
Mississippi,US,2020-05-12 3:32,34.64967704,-90.37481167,39,2,0,37
Mississippi,US,2020-05-12 3:32,34.65133709,-89.94485778,52,0,0,52
California,US,2020-05-12 3:32,34.65329488,-120.0188492,1362,11,0,1351
Oklahoma,US,2020-05-12 3:32,34.65973764,-98.47195055,124,2,0,122
Arkansas,US,2020-05-12 3:32,34.6815935,-91.20540287,5,0,0,5
South Carolina,US,2020-05-12 3:32,34.68270843,-80.70513032,111,5,0,106
South Carolina,US,2020-05-12 3:32,34.68835752,-81.61730349,31,0,0,31
South Carolina,US,2020-05-12 3:32,34.69249168,-81.1583216,40,0,0,40
Georgia,US,2020-05-12 3:32,34.69316688,-84.45802506,98,0,0,98
Alabama,US,2020-05-12 3:32,34.69847452,-87.80168544,70,2,0,68
Oklahoma,US,2020-05-12 3:32,34.70418038,-97.30811132,15,1,0,14
New Mexico,US,2020-05-12 3:32,34.71669834,-106.8103733,57,1,0,56
North Carolina,US,2020-05-12 3:32,34.72607366,-77.42908179,56,2,0,54
Oklahoma,US,2020-05-12 3:32,34.72959848,-96.68337199,10,2,0,8
Georgia,US,2020-05-12 3:32,34.73376362,-85.30165174,65,0,0,65
Mississippi,US,2020-05-12 3:32,34.74023475,-88.23917219,10,0,0,10
South Carolina,US,2020-05-12 3:32,34.75225169,-83.06742317,37,0,0,37
Arkansas,US,2020-05-12 3:32,34.75392199,-91.88742357,45,0,0,45
Mississippi,US,2020-05-12 3:32,34.76216286,-89.50299462,56,2,0,54
Alabama,US,2020-05-12 3:32,34.76327133,-86.55069633,250,4,0,246
Mississippi,US,2020-05-12 3:32,34.76872156,-88.90988194,66,11,0,55
Arkansas,US,2020-05-12 3:32,34.77054088,-92.31355101,630,23,0,607
Alabama,US,2020-05-12 3:32,34.78144169,-85.99750489,60,2,0,58
Arkansas,US,2020-05-12 3:32,34.78498904,-90.78383866,5,1,0,4
Georgia,US,2020-05-12 3:32,34.78897608,-84.74993177,47,1,0,46
,Syria,2020-05-12 3:32,34.802075,38.996815,47,3,29,15
Georgia,US,2020-05-12 3:32,34.80987459,-84.96093476,157,6,0,151
Alabama,US,2020-05-12 3:32,34.81185586,-86.98310072,57,0,0,57
Mississippi,US,2020-05-12 3:32,34.81681228,-89.18945516,13,0,0,13
Georgia,US,2020-05-12 3:32,34.82995757,-83.98967069,35,1,0,34
Arkansas,US,2020-05-12 3:32,34.83624419,-91.55162157,2,0,0,2
North Carolina,US,2020-05-12 3:32,34.8386299,-79.4757978,41,0,0,41
California,US,2020-05-12 3:32,34.84060306,-116.1774685,3015,115,0,2900
Georgia,US,2020-05-12 3:32,34.8549167,-85.50490424,17,1,0,16
Arkansas,US,2020-05-12 3:32,34.85588887,-94.0632176,1,0,0,1
New Mexico,US,2020-05-12 3:32,34.86319296,-104.790669,15,0,0,15
Georgia,US,2020-05-12 3:32,34.86430205,-84.316964,34,1,0,33
Mississippi,US,2020-05-12 3:32,34.87625235,-89.99091418,336,5,0,331
Oklahoma,US,2020-05-12 3:32,34.87844729,-95.25215049,5,1,0,4
Mississippi,US,2020-05-12 3:32,34.88084463,-88.57996173,10,1,0,9
Georgia,US,2020-05-12 3:32,34.88389445,-83.40304637,14,1,0,13
South Carolina,US,2020-05-12 3:32,34.88807695,-82.72791551,73,1,0,72
North Carolina,US,2020-05-12 3:32,34.8932941,-76.54120135,32,3,0,29
South Carolina,US,2020-05-12 3:32,34.89502264,-82.37295012,946,45,0,901
Oklahoma,US,2020-05-12 3:32,34.89851864,-94.70392124,13,1,0,12
Georgia,US,2020-05-12 3:32,34.89872298,-85.13757014,55,0,0,55
Alabama,US,2020-05-12 3:32,34.90171875,-87.65624729,96,2,0,94
New Mexico,US,2020-05-12 3:32,34.91131525,-107.998876,86,4,0,82
Georgia,US,2020-05-12 3:32,34.91369188,-83.7410746,20,1,0,19
Oklahoma,US,2020-05-12 3:32,34.91671958,-98.97720696,6,0,0,6
Oklahoma,US,2020-05-12 3:32,34.92065823,-95.7513432,39,3,0,36
South Carolina,US,2020-05-12 3:32,34.92960077,-81.99225984,346,12,0,334
North Carolina,US,2020-05-12 3:32,34.93449805,-77.93140529,258,4,0,254
Oklahoma,US,2020-05-12 3:32,34.93535801,-99.5605612,65,6,0,59
Arkansas,US,2020-05-12 3:32,34.9459153,-92.94372564,8,0,0,8
Texas,US,2020-05-12 3:32,34.96489496,-100.2700111,4,0,0,4
Texas,US,2020-05-12 3:32,34.96507426,-101.3574874,2,0,0,2
Texas,US,2020-05-12 3:32,34.96517499,-100.8140093,26,0,0,26
Texas,US,2020-05-12 3:32,34.96522957,-102.6054267,59,0,0,59
Texas,US,2020-05-12 3:32,34.96585996,-101.8971322,358,3,0,355
South Carolina,US,2020-05-12 3:32,34.97281497,-81.18085944,242,5,0,237
North Carolina,US,2020-05-12 3:32,34.97403241,-80.09953279,38,0,0,38
North Carolina,US,2020-05-12 3:32,34.98820368,-78.36914061,167,1,0,166
North Carolina,US,2020-05-12 3:32,34.98960527,-80.52955873,301,17,0,284
Arkansas,US,2020-05-12 3:32,35.00292371,-93.41171338,7,1,0,6
North Carolina,US,2020-05-12 3:32,35.00417719,-79.74491009,91,2,0,89
Oklahoma,US,2020-05-12 3:32,35.01123903,-97.44572302,85,2,0,83
Oklahoma,US,2020-05-12 3:32,35.0167709,-97.88339847,46,2,0,44
North Carolina,US,2020-05-12 3:32,35.01888303,-79.23651674,123,0,0,123
Arkansas,US,2020-05-12 3:32,35.02201976,-90.74828138,279,0,0,279
North Carolina,US,2020-05-12 3:32,35.02254606,-77.35870791,20,3,0,17
North Carolina,US,2020-05-12 3:32,35.04762133,-78.82623165,368,9,0,359
South Carolina,US,2020-05-12 3:32,35.05122251,-81.61828622,22,0,0,22
New Mexico,US,2020-05-12 3:32,35.05163625,-106.6703554,1086,48,0,1038
North Carolina,US,2020-05-12 3:32,35.05704275,-83.74353633,8,0,0,8
New Mexico,US,2020-05-12 3:32,35.10403332,-103.5481727,4,1,0,3
North Carolina,US,2020-05-12 3:32,35.11833364,-77.08398081,55,4,0,51
Tennessee,US,2020-05-12 3:32,35.12245443,-84.52075859,12,0,0,12
,Cyprus,2020-05-12 3:32,35.1264,33.4299,901,16,401,484
Tennessee,US,2020-05-12 3:32,35.12997174,-85.62265895,29,1,0,28
North Carolina,US,2020-05-12 3:32,35.1349263,-84.05970864,27,1,0,26
Tennessee,US,2020-05-12 3:32,35.13738622,-86.58910106,16,0,0,16
Arkansas,US,2020-05-12 3:32,35.14719007,-92.33717519,82,2,0,80
North Carolina,US,2020-05-12 3:32,35.14867843,-83.41696617,3,1,0,2
North Carolina,US,2020-05-12 3:32,35.15253315,-76.66559823,8,0,0,8
Tennessee,US,2020-05-12 3:32,35.15634626,-86.09201039,41,1,0,40
Tennessee,US,2020-05-12 3:32,35.15739424,-84.857186,72,1,0,71
Oklahoma,US,2020-05-12 3:32,35.16478725,-96.61686741,21,2,0,19
Oklahoma,US,2020-05-12 3:32,35.17364557,-98.37534464,108,9,0,99
Tennessee,US,2020-05-12 3:32,35.17468549,-88.5647812,11,0,0,11
Tennessee,US,2020-05-12 3:32,35.17670231,-85.16652245,240,13,0,227
Tennessee,US,2020-05-12 3:32,35.1864775,-89.89692423,3372,70,0,3302
Arkansas,US,2020-05-12 3:32,35.18902527,-91.2439489,1,0,0,1
Shaanxi,China,2020-05-12 3:32,35.1917,108.8701,308,3,296,9
Arkansas,US,2020-05-12 3:32,35.19605503,-94.27162713,15,0,0,15
Tennessee,US,2020-05-12 3:32,35.19615831,-89.41399032,80,1,0,79
Tennessee,US,2020-05-12 3:32,35.19732531,-88.18593755,8,0,0,8
Tennessee,US,2020-05-12 3:32,35.20222469,-87.03992678,9,0,0,9
North Carolina,US,2020-05-12 3:32,35.20383864,-82.79638423,7,0,0,7
Oklahoma,US,2020-05-12 3:32,35.20413532,-97.32519562,456,32,0,424
Oklahoma,US,2020-05-12 3:32,35.20614018,-96.94923008,54,4,0,50
Tennessee,US,2020-05-12 3:32,35.20772017,-88.99161161,171,0,0,171
Arkansas,US,2020-05-12 3:32,35.21247318,-90.30839406,210,7,0,203
Arkansas,US,2020-05-12 3:32,35.21413234,-93.71951016,3,0,0,3
Tennessee,US,2020-05-12 3:32,35.21675201,-87.39787695,21,0,0,21
Oklahoma,US,2020-05-12 3:32,35.222576,-95.11513306,5,0,0,5
Tennessee,US,2020-05-12 3:32,35.23868267,-87.78644456,3,0,0,3
North Carolina,US,2020-05-12 3:32,35.2403259,-77.64245615,122,4,0,118
North Carolina,US,2020-05-12 3:32,35.24469268,-80.8317671,2134,63,0,2071
Arkansas,US,2020-05-12 3:32,35.25688493,-91.74908296,36,1,0,35
Arkansas,US,2020-05-12 3:32,35.26205537,-92.70506566,13,1,0,12
Oklahoma,US,2020-05-12 3:32,35.26862449,-99.68128023,6,0,0,6
Tennessee,US,2020-05-12 3:32,35.27724699,-86.36230578,3,0,0,3
North Carolina,US,2020-05-12 3:32,35.27820615,-82.16812354,31,2,0,29
North Carolina,US,2020-05-12 3:32,35.28814273,-83.14093385,22,1,0,21
Oklahoma,US,2020-05-12 3:32,35.29071824,-98.99180434,0,0,0,0
North Carolina,US,2020-05-12 3:32,35.29373559,-81.17477045,178,5,0,173
Arkansas,US,2020-05-12 3:32,35.29631396,-90.77185818,29,0,0,29
North Carolina,US,2020-05-12 3:32,35.30885257,-79.48474178,156,9,0,147
North Carolina,US,2020-05-12 3:32,35.31647813,-80.25093221,30,4,0,26
North Carolina,US,2020-05-12 3:32,35.33155144,-79.90416657,46,2,0,44
North Carolina,US,2020-05-12 3:32,35.33553364,-81.55204486,50,2,0,48
North Carolina,US,2020-05-12 3:32,35.33788927,-82.4766782,230,28,0,202
California,US,2020-05-12 3:32,35.34329425,-118.7277796,1286,15,0,1271
North Carolina,US,2020-05-12 3:32,35.3506925,-83.83369267,2,0,0,2
North Carolina,US,2020-05-12 3:32,35.36438125,-78.00027268,752,13,0,739
North Carolina,US,2020-05-12 3:32,35.36731853,-78.87243571,228,13,0,215
Tennessee,US,2020-05-12 3:32,35.36979721,-85.41022136,6,0,0,6
Oklahoma,US,2020-05-12 3:32,35.37235506,-95.66599306,5,0,0,5
Tennessee,US,2020-05-12 3:32,35.38433717,-85.72142731,30,1,0,29
North Carolina,US,2020-05-12 3:32,35.3877799,-80.55267168,352,17,0,335
California,US,2020-05-12 3:32,35.38822029,-120.4039028,226,1,0,225
Arizona,US,2020-05-12 3:32,35.39465006,-109.4892383,727,10,0,717
Arizona,US,2020-05-12 3:32,35.3997715,-110.3218983,1006,37,0,969
Texas,US,2020-05-12 3:32,35.40081878,-100.8129222,75,0,0,75
North Carolina,US,2020-05-12 3:32,35.40114178,-81.92112099,154,7,0,147
Texas,US,2020-05-12 3:32,35.40114335,-100.2699514,14,0,0,14
Texas,US,2020-05-12 3:32,35.40133773,-101.893964,1124,15,0,1109
Texas,US,2020-05-12 3:32,35.40365929,-101.3542669,3,0,0,3
Texas,US,2020-05-12 3:32,35.40425596,-102.6027606,3,1,0,2
North Carolina,US,2020-05-12 3:32,35.42017674,-76.15180542,1,0,0,1
Tennessee,US,2020-05-12 3:32,35.42527478,-88.6095842,12,0,0,12
Tennessee,US,2020-05-12 3:32,35.42812616,-84.61520715,122,8,0,114
Tennessee,US,2020-05-12 3:32,35.44550387,-84.24902965,31,1,0,30
Arkansas,US,2020-05-12 3:32,35.44871474,-93.03212219,48,0,0,48
Tennessee,US,2020-05-12 3:32,35.45798777,-86.76420988,24,1,0,23
Oklahoma,US,2020-05-12 3:32,35.46485198,-96.32639984,1,0,0,1
North Carolina,US,2020-05-12 3:32,35.47623147,-79.17569362,277,1,0,276
New Mexico,US,2020-05-12 3:32,35.48014807,-104.8163562,7,0,0,7
North Carolina,US,2020-05-12 3:32,35.48508185,-81.21740317,40,0,0,40
North Carolina,US,2020-05-12 3:32,35.48531943,-76.84325809,25,0,0,25
North Carolina,US,2020-05-12 3:32,35.48544173,-77.67578087,36,1,0,35
North Carolina,US,2020-05-12 3:32,35.48665845,-83.48748932,5,0,0,5
Tennessee,US,2020-05-12 3:32,35.49090731,-86.07311784,54,0,0,54
Oklahoma,US,2020-05-12 3:32,35.49447108,-94.75463785,14,3,0,11
Tennessee,US,2020-05-12 3:32,35.501942,-89.73694895,373,2,0,371
New Mexico,US,2020-05-12 3:32,35.50708973,-105.9774716,112,1,0,111
Tennessee,US,2020-05-12 3:32,35.51123746,-86.45549096,238,3,0,235
Arkansas,US,2020-05-12 3:32,35.51202821,-93.89299569,2,0,0,2
Tennessee,US,2020-05-12 3:32,35.51558739,-84.81482914,22,0,0,22
North Carolina,US,2020-05-12 3:32,35.51745004,-78.36622717,212,18,0,194
Tennessee,US,2020-05-12 3:32,35.52853208,-87.49022694,2,0,0,2
Arkansas,US,2020-05-12 3:32,35.53864922,-92.02640019,72,4,0,68
Oklahoma,US,2020-05-12 3:32,35.5426055,-97.98465569,111,3,0,108
Oklahoma,US,2020-05-12 3:32,35.55140095,-97.40716948,954,43,0,911
North Carolina,US,2020-05-12 3:32,35.55269063,-82.98196486,18,0,0,18
Arkansas,US,2020-05-12 3:32,35.56759135,-93.46036368,34,0,0,34
Arkansas,US,2020-05-12 3:32,35.57433534,-90.66268713,25,2,0,23
New Mexico,US,2020-05-12 3:32,35.5800772,-108.262245,1585,50,0,1535
Arkansas,US,2020-05-12 3:32,35.58095779,-92.51295036,28,2,0,26
Tennessee,US,2020-05-12 3:32,35.58332824,-89.28536625,26,1,0,25
Arkansas,US,2020-05-12 3:32,35.58928601,-94.2446814,5,0,0,5
North Carolina,US,2020-05-12 3:32,35.59535426,-77.37353178,169,2,0,167
Arkansas,US,2020-05-12 3:32,35.59802983,-91.21494602,1,0,0,1
Tennessee,US,2020-05-12 3:32,35.59942968,-85.20611967,604,0,0,604
Tennessee,US,2020-05-12 3:32,35.60048904,-88.11043779,4,0,0,4
Tennessee,US,2020-05-12 3:32,35.60536161,-84.93076643,6,0,0,6
North Carolina,US,2020-05-12 3:32,35.61113393,-82.53305,102,4,0,98
Tennessee,US,2020-05-12 3:32,35.61181957,-88.84076036,156,1,0,155
Oklahoma,US,2020-05-12 3:32,35.61318461,-95.37802952,29,6,0,23
Tennessee,US,2020-05-12 3:32,35.6187413,-87.07462444,55,0,0,55
Tennessee,US,2020-05-12 3:32,35.63708728,-87.86139634,13,0,0,13
Oklahoma,US,2020-05-12 3:32,35.63853802,-99.00170785,11,0,0,11
North Carolina,US,2020-05-12 3:32,35.64003916,-80.52446628,488,25,0,463
Oklahoma,US,2020-05-12 3:32,35.64661916,-95.96432828,16,0,0,16
Tennessee,US,2020-05-12 3:32,35.65581134,-88.38600175,10,0,0,10
North Carolina,US,2020-05-12 3:32,35.66211129,-81.2132617,83,2,0,81
North Carolina,US,2020-05-12 3:32,35.66520691,-75.71767334,21,1,0,20
Tennessee,US,2020-05-12 3:32,35.6728299,-85.77969117,12,0,0,12
North Carolina,US,2020-05-12 3:32,35.67736232,-82.0482425,30,1,0,29
New Mexico,US,2020-05-12 3:32,35.68862401,-106.8687803,467,21,0,446
Tennessee,US,2020-05-12 3:32,35.68938198,-83.92847788,72,3,0,69
Tennessee,US,2020-05-12 3:32,35.69864497,-85.45221699,2,0,0,2
Oklahoma,US,2020-05-12 3:32,35.70270942,-96.8812462,17,2,0,15
North Carolina,US,2020-05-12 3:32,35.70394416,-79.25541492,458,11,0,447
Arizona,US,2020-05-12 3:32,35.70471703,-113.7577902,198,25,0,173
North Carolina,US,2020-05-12 3:32,35.70625477,-77.917978,216,8,0,208
North Carolina,US,2020-05-12 3:32,35.71015088,-79.80570339,354,6,0,348
Tennessee,US,2020-05-12 3:32,35.73939663,-84.31145275,43,0,0,43
Arkansas,US,2020-05-12 3:32,35.74242707,-91.57001641,17,0,0,17
Qinghai,China,2020-05-12 3:32,35.7452,95.9956,18,0,18,0
North Carolina,US,2020-05-12 3:32,35.74989637,-81.70755735,137,11,0,126
Tennessee,US,2020-05-12 3:32,35.75893438,-89.6301591,36,0,0,36
Arkansas,US,2020-05-12 3:32,35.76271485,-90.0519437,52,0,0,52
Tennessee,US,2020-05-12 3:32,35.78077323,-83.52244332,65,2,0,63
North Carolina,US,2020-05-12 3:32,35.78879266,-78.65249174,1051,23,0,1028
North Carolina,US,2020-05-12 3:32,35.79115496,-80.21256572,205,10,0,195
Tennessee,US,2020-05-12 3:32,35.80609681,-87.47643507,52,0,0,52
North Carolina,US,2020-05-12 3:32,35.80950511,-80.8743128,153,6,0,147
Tennessee,US,2020-05-12 3:32,35.80990797,-86.05738983,13,0,0,13
Tennessee,US,2020-05-12 3:32,35.81830662,-89.14916269,12,0,0,12
Arkansas,US,2020-05-12 3:32,35.83018283,-90.63235729,98,0,0,98
Texas,US,2020-05-12 3:32,35.83764858,-100.2703577,1,0,0,1
Texas,US,2020-05-12 3:32,35.83769242,-101.8930281,526,9,0,517
Texas,US,2020-05-12 3:32,35.83809685,-100.813175,2,0,0,2
North Carolina,US,2020-05-12 3:32,35.83810081,-76.57299037,25,3,0,22
Arizona,US,2020-05-12 3:32,35.83883429,-111.7707178,713,56,0,657
Texas,US,2020-05-12 3:32,35.84006574,-101.3546643,21,0,0,21
Texas,US,2020-05-12 3:32,35.84008013,-102.6029022,8,2,0,6
North Carolina,US,2020-05-12 3:32,35.84326734,-77.10860251,31,1,0,30
Tennessee,US,2020-05-12 3:32,35.84591405,-86.4107263,745,14,0,731
Tennessee,US,2020-05-12 3:32,35.84923189,-84.52458689,8,0,0,8
North Carolina,US,2020-05-12 3:32,35.85402722,-82.71346418,1,0,0,1
New Mexico,US,2020-05-12 3:32,35.85751555,-103.8220938,1,0,0,1
Arkansas,US,2020-05-12 3:32,35.86251946,-92.15684085,8,0,0,8
New Mexico,US,2020-05-12 3:32,35.86631386,-106.3134985,6,0,0,6
North Carolina,US,2020-05-12 3:32,35.87147226,-76.17055253,4,0,0,4
Oklahoma,US,2020-05-12 3:32,35.87518314,-98.43307003,3,0,0,3
Oklahoma,US,2020-05-12 3:32,35.88494195,-94.65859267,72,3,0,69
Tennessee,US,2020-05-12 3:32,35.89099229,-86.89281867,445,10,0,435
North Carolina,US,2020-05-12 3:32,35.90079156,-82.31237181,9,0,0,9
Oklahoma,US,2020-05-12 3:32,35.90230551,-96.37086028,82,7,0,75
Oklahoma,US,2020-05-12 3:32,35.90692775,-94.99980896,30,1,0,29
,South Korea,2020-05-12 3:32,35.907757,127.766922,10936,258,9670,1008
Arkansas,US,2020-05-12 3:32,35.9109364,-92.69936482,6,0,0,6
North Carolina,US,2020-05-12 3:32,35.91230639,-77.59436892,155,7,0,148
Oklahoma,US,2020-05-12 3:32,35.91899576,-97.44352845,18,1,0,17
Arkansas,US,2020-05-12 3:32,35.91947491,-93.21612969,3,0,0,3
North Carolina,US,2020-05-12 3:32,35.9223796,-81.17751948,12,0,0,12
Tennessee,US,2020-05-12 3:32,35.9278914,-83.11828725,18,0,0,18
Tennessee,US,2020-05-12 3:32,35.92929884,-85.45591799,16,0,0,16
North Carolina,US,2020-05-12 3:32,35.93099927,-80.54496571,37,2,0,35
,Malta,2020-05-12 3:32,35.9375,14.3754,503,5,434,64
Oklahoma,US,2020-05-12 3:32,35.94530008,-97.94193268,8,0,0,8
North Carolina,US,2020-05-12 3:32,35.95204977,-81.54799522,60,0,0,60
Tennessee,US,2020-05-12 3:32,35.95271721,-84.99840585,84,1,0,83
Oklahoma,US,2020-05-12 3:32,35.96024096,-95.51911308,129,17,0,112
North Carolina,US,2020-05-12 3:32,35.96575634,-77.98422508,123,3,0,120
Tennessee,US,2020-05-12 3:32,35.97366108,-88.45189331,21,1,0,20
Tennessee,US,2020-05-12 3:32,35.97616272,-85.83689361,28,0,0,28
Arkansas,US,2020-05-12 3:32,35.976844,-94.21800746,110,3,0,107
Oklahoma,US,2020-05-12 3:32,35.98772922,-99.00730714,2,0,0,2
Tennessee,US,2020-05-12 3:32,35.99438059,-88.93358327,56,1,0,55
Tennessee,US,2020-05-12 3:32,35.99508821,-83.94635435,280,5,0,275
Arkansas,US,2020-05-12 3:32,36.01038185,-93.72524943,1,0,0,1
North Carolina,US,2020-05-12 3:32,36.01059309,-82.1582442,5,0,0,5
North Carolina,US,2020-05-12 3:32,36.03638492,-78.87608331,886,34,0,852
Tennessee,US,2020-05-12 3:32,36.03958805,-87.77992872,12,1,0,11
Arkansas,US,2020-05-12 3:32,36.04188196,-91.10867198,69,4,0,65
North Carolina,US,2020-05-12 3:32,36.0434701,-79.39976137,183,7,0,176
Tennessee,US,2020-05-12 3:32,36.04818632,-83.45148924,26,0,0,26
Tennessee,US,2020-05-12 3:32,36.05931946,-89.41542855,43,0,0,43
North Carolina,US,2020-05-12 3:32,36.06092947,-79.12167935,253,33,0,220
North Carolina,US,2020-05-12 3:32,36.0688473,-76.96545943,61,3,0,58
Tennessee,US,2020-05-12 3:32,36.07110411,-88.06849355,6,1,0,5
California,US,2020-05-12 3:32,36.07409056,-119.8159973,319,1,0,318
Oklahoma,US,2020-05-12 3:32,36.07695283,-96.97584944,45,1,0,44
North Carolina,US,2020-05-12 3:32,36.07959451,-79.78824948,641,38,0,603
North Carolina,US,2020-05-12 3:32,36.081519,-78.28708884,111,22,0,89
Arkansas,US,2020-05-12 3:32,36.09604046,-91.90847954,13,0,0,13
