Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active
Aruba,Netherlands,2020-05-12 3:32,12.5211,-69.9683,101,3,89,9
,Sudan,2020-05-12 3:32,12.8628,30.2176,1526,74,162,1290
,Nicaragua,2020-05-12 3:32,12.865416,-85.207229,16,5,7,4
,Philippines,2020-05-12 3:32,12.879721,121.774017,11086,726,1999,8361
,Saint Vincent and the Grenadines,2020-05-12 3:32,12.9843,-61.2872,17,0,9,8
,Barbados,2020-05-12 3:32,13.1939,-59.5432,84,7,57,20
,Gambia,2020-05-12 3:32,13.4432,-15.3101,22,1,10,11
Guam,US,2020-05-12 3:32,13.4443,144.7937,151,5,0,146
,El Salvador,2020-05-12 3:32,13.7942,-88.8965,958,18,325,615
,Saint Lucia,2020-05-12 3:32,13.9094,-60.9789,18,0,17,1
,Vietnam,2020-05-12 3:32,14.058324,108.277199,288,0,249,39
,Senegal,2020-05-12 3:32,14.4974,-14.4524,1886,19,715,1152
Martinique,France,2020-05-12 3:32,14.6415,-61.0242,187,14,91,82
Northern Mariana Islands,US,2020-05-12 3:32,15.0979,145.6739,19,2,0,17
,Eritrea,2020-05-12 3:32,15.1794,39.7823,39,0,38,1
,Honduras,2020-05-12 3:32,15.2,-86.2419,2100,116,206,1778
,Dominica,2020-05-12 3:32,15.415,-61.371,16,0,15,1
,Chad,2020-05-12 3:32,15.4542,18.7322,322,31,53,238
,Yemen,2020-05-12 3:32,15.552727,48.516388,56,9,1,46
,Guatemala,2020-05-12 3:32,15.7835,-90.2308,1114,26,111,977
,Thailand,2020-05-12 3:32,15.870032,100.992541,3015,56,2796,163
Guadeloupe,France,2020-05-12 3:32,16.265,-61.551,154,13,104,37
,Cabo Verde,2020-05-12 3:32,16.5388,-23.0418,260,2,58,200
Montserrat,United Kingdom,2020-05-12 3:32,16.742498,-62.187366,11,1,8,2
,Antigua and Barbuda,2020-05-12 3:32,17.0608,-61.7964,25,3,19,3
,Belize,2020-05-12 3:32,17.1899,-88.4976,18,2,16,0
,Saint Kitts and Nevis,2020-05-12 3:32,17.357822,-62.782998,15,0,14,1
,Mali,2020-05-12 3:32,17.570692,-3.996166,712,39,377,296
,Niger,2020-05-12 3:32,17.607789,8.081666,832,46,637,149
Saint Barthelemy,France,2020-05-12 3:32,17.9,-62.8333,6,0,6,0
Sint Maarten,Netherlands,2020-05-12 3:32,18.0425,-63.0548,76,15,46,15
St Martin,France,2020-05-12 3:32,18.0708,-63.0501,39,3,30,6
,Jamaica,2020-05-12 3:32,18.1096,-77.2975,505,9,90,406
Anguilla,United Kingdom,2020-05-12 3:32,18.2206,-63.0686,3,0,3,0
Puerto Rico,US,2020-05-12 3:32,18.2208,-66.5901,2256,113,0,2143
Virgin Islands,US,2020-05-12 3:32,18.3358,-64.8963,69,5,0,64
British Virgin Islands,United Kingdom,2020-05-12 3:32,18.4207,-64.64,7,1,4,2
,Dominican Republic,2020-05-12 3:32,18.7357,-70.1627,10634,393,2870,7371
,Haiti,2020-05-12 3:32,18.9712,-72.2852,209,16,17,176
Hainan,China,2020-05-12 3:32,19.1959,109.7453,168,6,162,0
Cayman Islands,United Kingdom,2020-05-12 3:32,19.3133,-81.2546,84,1,47,36
Hawaii,US,2020-05-12 3:32,19.60121157,-155.5210167,75,0,0,75
,Laos,2020-05-12 3:32,19.85627,102.495496,19,0,13,6
,India,2020-05-12 3:32,20.593684,78.96288,70768,2294,22549,45925
Hawaii,US,2020-05-12 3:32,20.86399628,-156.5689097,117,6,0,111
,Mauritania,2020-05-12 3:32,21.0079,-10.9408,8,1,6,1
Hawaii,US,2020-05-12 3:32,21.45803166,-157.9712182,410,11,0,399
,Oman,2020-05-12 3:32,21.512583,55.923255,3573,17,1250,2306
,Cuba,2020-05-12 3:32,21.521757,-77.781167,1783,77,1229,477
Turks and Caicos Islands,United Kingdom,2020-05-12 3:32,21.694,-71.7979,12,1,8,3
,Burma,2020-05-12 3:32,21.9162,95.956,180,6,74,100
Hawaii,US,2020-05-12 3:32,22.03935037,-159.5966786,21,0,0,21
Macau,China,2020-05-12 3:32,22.1667,113.55,45,0,42,3
Hong Kong,China,2020-05-12 3:32,22.3,114.2,1047,4,985,58
Guangdong,China,2020-05-12 3:32,23.3417,113.4244,1589,8,1578,3
,United Arab Emirates,2020-05-12 3:32,23.424076,53.847818,18878,201,5381,13296
,Mexico,2020-05-12 3:32,23.6345,-102.5528,36327,3573,23100,9654
,Bangladesh,2020-05-12 3:32,23.685,90.3563,15691,239,2902,12550
,Taiwan*,2020-05-12 3:32,23.7,121,440,7,368,65
Guangxi,China,2020-05-12 3:32,23.8298,108.7881,254,2,252,0
,Saudi Arabia,2020-05-12 3:32,23.885942,45.079162,41014,255,12737,28022
,Western Sahara,2020-05-12 3:32,24.2155,-12.8858,6,0,6,0
Yunnan,China,2020-05-12 3:32,24.974,101.487,185,2,183,0
,Bahamas,2020-05-12 3:32,25.025885,-78.035889,93,11,39,43
Florida,US,2020-05-12 3:32,25.20904673,-81.07812416,92,3,0,89
,Qatar,2020-05-12 3:32,25.3548,51.1839,23623,14,2840,20769
Florida,US,2020-05-12 3:32,25.6112362,-80.55170587,14167,490,0,13677
,Bahrain,2020-05-12 3:32,26.0275,50.55,5236,8,2152,3076
Fujian,China,2020-05-12 3:32,26.0789,117.9874,356,1,354,1
Florida,US,2020-05-12 3:32,26.11091986,-81.34687065,766,28,0,738
Texas,US,2020-05-12 3:32,26.14524221,-97.48140372,512,22,0,490
Florida,US,2020-05-12 3:32,26.15184651,-80.48725556,5882,258,0,5624
,Libya,2020-05-12 3:32,26.3351,17.228331,64,3,28,33
Texas,US,2020-05-12 3:32,26.39418217,-98.18299696,389,8,0,381
Texas,US,2020-05-12 3:32,26.47411727,-97.61535848,14,1,0,13
Florida,US,2020-05-12 3:32,26.55386945,-81.16469006,151,6,0,145
Texas,US,2020-05-12 3:32,26.56150059,-98.73892358,14,0,0,14
Florida,US,2020-05-12 3:32,26.58410348,-81.88399313,1285,68,0,1217
Florida,US,2020-05-12 3:32,26.64676272,-80.46536002,3889,238,0,3651
Guizhou,China,2020-05-12 3:32,26.8154,106.8748,147,2,145,0
,Egypt,2020-05-12 3:32,26.820553,30.802498,9746,533,2172,7041
Florida,US,2020-05-12 3:32,26.90131002,-81.92949121,337,33,0,304
Florida,US,2020-05-12 3:32,26.95635849,-81.18996211,7,1,0,6
Texas,US,2020-05-12 3:32,27.00156391,-99.16987152,7,0,0,7
Texas,US,2020-05-12 3:32,27.03103197,-98.21808402,1,0,0,1
Texas,US,2020-05-12 3:32,27.04453923,-98.6968187,3,0,0,3
Florida,US,2020-05-12 3:32,27.0772071,-80.43109784,261,6,0,255
Florida,US,2020-05-12 3:32,27.18546175,-82.33174248,430,57,0,373
Florida,US,2020-05-12 3:32,27.18677893,-81.80941373,51,5,0,46
Florida,US,2020-05-12 3:32,27.34254618,-81.34071957,99,8,0,91
Florida,US,2020-05-12 3:32,27.37763908,-80.47106649,284,25,0,259
Florida,US,2020-05-12 3:32,27.3863362,-80.88944347,28,0,0,28
Texas,US,2020-05-12 3:32,27.42435506,-97.69894948,11,1,0,10
Florida,US,2020-05-12 3:32,27.47196942,-82.31831044,783,74,0,709
Florida,US,2020-05-12 3:32,27.49293939,-81.80956574,36,0,0,36
,Bhutan,2020-05-12 3:32,27.5142,90.4336,11,0,5,6
Hunan,China,2020-05-12 3:32,27.6104,111.7088,1019,4,1015,0
Jiangxi,China,2020-05-12 3:32,27.614,115.7221,937,1,936,0
Texas,US,2020-05-12 3:32,27.68184592,-98.50864568,5,0,0,5
Florida,US,2020-05-12 3:32,27.69308961,-80.60556721,100,8,0,92
Texas,US,2020-05-12 3:32,27.73103938,-98.0904705,7,0,0,7
Texas,US,2020-05-12 3:32,27.736286,-97.5433285,132,3,0,129
Texas,US,2020-05-12 3:32,27.7610369,-99.33237355,435,17,0,418
Florida,US,2020-05-12 3:32,27.9276559,-82.32013172,1448,38,0,1410
Florida,US,2020-05-12 3:32,27.93130349,-82.72239666,876,61,0,815
Florida,US,2020-05-12 3:32,27.95027105,-81.69732947,655,33,0,622
Texas,US,2020-05-12 3:32,28.00880118,-97.51763891,22,0,0,22
,Algeria,2020-05-12 3:32,28.0339,1.6596,5891,507,2841,2543
Florida,US,2020-05-12 3:32,28.06312234,-81.14882926,573,13,0,560
Texas,US,2020-05-12 3:32,28.10556197,-96.9995047,2,0,0,2
,Nepal,2020-05-12 3:32,28.1667,84.25,134,0,33,101
Florida,US,2020-05-12 3:32,28.29409504,-80.73091022,330,9,0,321
Florida,US,2020-05-12 3:32,28.30810945,-82.40227529,300,9,0,291
Texas,US,2020-05-12 3:32,28.3238976,-97.15766311,1,0,0,1
Texas,US,2020-05-12 3:32,28.34453111,-99.09908775,2,0,0,2
Texas,US,2020-05-12 3:32,28.35101362,-98.1246786,5,0,0,5
Texas,US,2020-05-12 3:32,28.41761668,-97.74215593,6,0,0,6
Texas,US,2020-05-12 3:32,28.42270064,-99.75645095,1,0,0,1
Texas,US,2020-05-12 3:32,28.47048236,-96.61633945,36,3,0,33
Florida,US,2020-05-12 3:32,28.51367621,-81.31799498,1512,35,0,1477
Florida,US,2020-05-12 3:32,28.55364461,-82.42700204,101,5,0,96
